Source,CH1,CH2
Second,Volt,Volt
-0.78784000874,0.00,0.07200
-0.78779995441,0.00,0.07200
-0.78775995970,0.00,0.08800
-0.78771996498,0.00,0.09600
-0.78767997026,0.00,0.07200
-0.78763997555,0.00,0.07200
-0.78759998083,0.00,0.06400
-0.78755998611,0.00,0.06400
-0.78751999140,0.00,0.06400
-0.78747999668,0.00,0.07200
-0.78744000196,0.00,0.08800
-0.78740000725,0.00,0.06400
-0.78735995293,0.00,0.06400
-0.78731995821,0.00,0.06400
-0.78727996349,0.00,0.06400
-0.78723996878,0.00,0.06400
-0.78719997406,0.00,0.06400
-0.78715997934,0.00,0.05600
-0.78711998463,0.00,0.05600
-0.78707998991,0.08000,0.05600
-0.78703999519,0.00,0.05600
-0.78700000048,0.00,0.05600
-0.78696000576,0.00,0.05600
-0.78691995144,0.08000,0.05600
-0.78687995672,0.00,0.05600
-0.78683996201,0.00,0.05600
-0.78679996729,0.08000,0.05600
-0.78675997257,0.08000,0.04800
-0.78671997786,0.08000,0.04800
-0.78667998314,0.00,0.04800
-0.78663998842,0.00,0.04800
-0.78659999371,0.08000,0.00
-0.78655999899,0.08000,0.04800
-0.78652000427,0.08000,0.04800
-0.78648000956,0.08000,0.04800
-0.78643995523,0.08000,0.04000
-0.78639996052,0.08000,0.03200
-0.78635996580,0.08000,0.03200
-0.78631997108,0.08000,0.03200
-0.78627997637,0.08000,0.03200
-0.78623998165,0.00,0.03200
-0.78619998693,0.08000,0.03200
-0.78615999222,0.16000,0.03200
-0.78611999750,0.16000,0.07200
-0.78608000278,0.16000,0.03200
-0.78604000807,0.08000,0.03200
-0.78599995375,0.16000,0.02400
-0.78595995903,0.16000,0.02400
-0.78591996431,0.16000,0.03200
-0.78587996960,0.16000,0.02400
-0.78583997488,0.16000,0.03200
-0.78579998016,0.16000,0.02400
-0.78575998545,0.16000,-0.04800
-0.78571999073,0.16000,0.02400
-0.78567999601,0.16000,0.01600
-0.78564000130,0.16000,0.02400
-0.78560000658,0.16000,0.01600
-0.78555995226,0.16000,0.01600
-0.78551995754,0.16000,0.00800
-0.78547996283,0.16000,0.00800
-0.78543996811,0.16000,-0.03200
-0.78539997339,0.16000,0.00800
-0.78535997868,0.16000,0.00800
-0.78531998396,0.16000,0.00800
-0.78527998924,0.16000,0.00
-0.78523999453,0.24000,0.00800
-0.78519999981,0.16000,0.00
-0.78516000509,0.16000,0.00
-0.78511995077,0.16000,0.00800
-0.78507995605,0.24000,0.00
-0.78503996134,0.24000,0.00
-0.78499996662,0.24000,0.00
-0.78495997190,0.24000,-0.00800
-0.78491997719,0.32000,-0.00800
-0.78487998247,0.16000,0.00
-0.78483998775,0.16000,0.00
-0.78479999304,0.24000,-0.00800
-0.78475999832,0.24000,-0.00800
-0.78472000360,0.24000,-0.00800
-0.78468000889,0.16000,0.00
-0.78463995457,0.24000,-0.00800
-0.78459995985,0.24000,-0.00800
-0.78455996513,0.24000,-0.00800
-0.78451997042,0.24000,-0.00800
-0.78447997570,0.32000,-0.00800
-0.78443998098,0.24000,-0.01600
-0.78439998627,0.24000,-0.01600
-0.78435999155,0.32000,-0.01600
-0.78431999683,0.32000,-0.01600
-0.78428000212,0.24000,-0.01600
-0.78424000740,0.32000,-0.01600
-0.78419995308,0.32000,-0.02400
-0.78415995836,0.24000,-0.01600
-0.78411996365,0.24000,-0.03200
-0.78407996893,0.32000,-0.02400
-0.78403997421,0.32000,-0.03200
-0.78399997950,0.32000,-0.03200
-0.78395998478,0.32000,-0.03200
-0.78391999006,0.32000,-0.03200
-0.78387999535,0.24000,-0.03200
-0.78384000063,0.32000,-0.03200
-0.78380000591,0.32000,-0.03200
-0.78375995159,0.32000,-0.03200
-0.78371995687,0.32000,-0.04800
-0.78367996216,0.32000,-0.03200
-0.78363996744,0.32000,-0.05600
-0.78359997272,0.32000,-0.04800
-0.78355997801,0.32000,-0.07200
-0.78351998329,0.32000,-0.04800
-0.78347998857,0.32000,-0.04800
-0.78343999386,0.32000,-0.04800
-0.78339999914,0.48000,-0.06400
-0.78336000443,0.40000,-0.04800
-0.78332000971,0.32000,-0.05600
-0.78327995539,0.40000,-0.04800
-0.78323996067,0.40000,-0.05600
-0.78319996595,0.40000,-0.04800
-0.78315997124,0.40000,-0.04800
-0.78311997652,0.48000,-0.05600
-0.78307998180,0.40000,-0.05600
-0.78303998709,0.40000,-0.06400
-0.78299999237,0.48000,-0.06400
-0.78295999765,0.48000,-0.06400
-0.78292000294,0.48000,-0.06400
-0.78288000822,0.40000,-0.06400
-0.78283995390,0.48000,-0.06400
-0.78279995918,0.48000,-0.07200
-0.78275996447,0.48000,-0.07200
-0.78271996975,0.48000,-0.07200
-0.78267997503,0.40000,-0.08000
-0.78263998032,0.48000,-0.07200
-0.78259998560,0.48000,-0.07200
-0.78255999088,0.56000,-0.07200
